"region_code","bs_pm25_mean","bs_pm25_max","bs_n_weeks","bl_pm25_mean","pm25_excess","pm25_ratio","smoke_zone"
"101",35.8499653011841,630.800081645142,21,7.34274478069711,28.507220520487,4.88236570545498,"high"
"102",16.6831033894365,89,21,7.44596205373646,9.23714133570007,2.24055713271662,"high"
"103",25.0012862807258,182,21,6.15238095238095,18.8489053283448,4.06367656265667,"high"
"104",9.56299047619048,50.4,10,NA,2.56299047619048,1.36614149659864,"low"
"105",22.4224285714286,104,10,NA,15.4224285714286,3.20320408163265,"high"
"106",16.5493627025067,70.4480148378332,21,7.49620654834189,9.05315615416479,2.20769833325461,"high"
"107",16.5923827389635,76.1020113875886,21,7.43956325702701,9.15281948193647,2.23028989279595,"high"
"108",16.3347815290636,80.8064646699005,21,7.39003407628985,8.94474745277373,2.21037973038203,"high"
"110",15.0537996814467,106,21,10.1377724867725,4.91602719467424,1.48492183081526,"medium"
"111",16.5906860938455,82.9996926773187,21,7.33081988723823,9.25986620660723,2.26314196079584,"high"
"112",11.086458437323,98.1470263839719,21,6.16466788128584,4.92179055603719,1.79838697733877,"low"
"113",25.3253196122109,625,21,5.93144372294372,19.3938758892672,4.26967207228971,"high"
"114",19.1353285139513,115.689045268541,21,7.39170413665955,11.7436243772917,2.58875736368405,"high"
"115",14.194912102143,56.3806797673116,10,NA,7.19491210214302,2.02784458602043,"medium"
"116",13.8751929477625,47.9664667941731,10,NA,6.87519294776247,1.98217042110893,"medium"
"117",12.4289310329282,41.1559880158319,10,7.61967532467532,4.80925570825288,1.63116281249921,"medium"
"118",13.0220243952517,43.1072910367411,10,7.61967532467532,5.40234907057639,1.70899990358928,"medium"
"119",13.3589290053026,41.3819490834044,10,7.61967532467532,5.73925368062727,1.75321499093819,"medium"
"120",12.7875057170954,40.9038371415762,10,7.61967532467532,5.1678303924201,1.67822186277213,"medium"
"121",12.5181131314043,40.8679093917076,10,7.61967532467532,4.89843780672893,1.64286699865885,"medium"
"122",12.6515285665305,41.3623221004014,10,7.61967532467532,5.03185324185515,1.66037633198886,"medium"
"123",18.0140988492013,104.268495463753,21,7.31537014950756,10.6987286996938,2.46249998032074,"high"
"124",18.9289453053628,125,21,7.23505627705628,11.6938890283065,2.61628169574714,"high"
"125",13.3453278159545,40.5305826710121,10,NA,6.34532781595448,1.90647540227921,"medium"
"126",11.9869993597645,39.7428585139685,10,7.61967532467532,4.36732403508913,1.57316405870288,"low"
"127",15.1868563277354,66.2186833813092,10,NA,8.18685632773539,2.1695509039622,"medium"
"128",13.4601516702876,44.1420718728819,10,7.61967532467532,5.84047634561223,1.76649937126568,"medium"
"201",19.191568801986,281.023907451116,8,NA,12.191568801986,2.741652685998,"high"
"202",19.0127295129724,334.432901702014,8,NA,12.0127295129724,2.71610421613892,"high"
"203",13.7764016500463,155.511404943286,8,NA,6.77640165004626,1.96805737857804,"medium"
"204",26.0897667938727,286,21,5.93144372294372,20.158323070929,4.39855252996055,"high"
"205",22.3356585186891,296.919169130858,8,NA,15.3356585186891,3.19080835981272,"high"
"206",15.869635995844,212.100235053525,8,NA,8.86963599584396,2.26709085654914,"medium"
"207",18.8503875053064,331.301457702052,8,NA,11.8503875053064,2.69291250075806,"high"
"208",19.1040507774824,340.712058781703,8,NA,12.1040507774824,2.72915011106891,"high"
"209",16.9787532622218,262.380036141229,8,NA,9.97875326222175,2.42553618031739,"high"
"210",19.3247565176214,337.370049977871,8,NA,12.3247565176214,2.76067950251734,"high"
"211",17.4764024368985,241.101859614244,8,NA,10.4764024368985,2.49662891955693,"high"
"212",18.0453917796162,278.999808943892,8,NA,11.0453917796162,2.57791311137375,"high"
"213",22.6416827957306,337.117023669864,8,NA,15.6416827957306,3.2345261136758,"high"
"214",18.4385892965028,314.975464496589,8,NA,11.4385892965028,2.63408418521468,"high"
"216",23.4354081877121,302.679890369318,8,NA,16.4354081877121,3.34791545538744,"high"
"217",13.7842083333333,155,8,NA,6.78420833333333,1.96917261904762,"medium"
"301",8.6021300318392,80.5370078596194,21,4.21223670609753,4.38989332574166,2.04217631440013,"low"
"302",8.83563569357459,77.6624330916478,21,4.65043383010593,4.18520186346867,1.89995944816472,"low"
"303",11.3027861611677,96.5014302820005,21,6.55538361811176,4.74740254305599,1.72419904304905,"low"
"304",12.000496737506,97.075147546125,21,7.20325036104763,4.7972463764584,1.66598356797371,"low"
"305",12.1565896618598,101.298195731155,21,7.68901450138878,4.46757516047103,1.58103351992172,"low"
"306",7.61802721088435,23.7,21,6.25146753246753,1.36655967841682,1.21859822054893,"low"
"307",12.5949103562093,56.4,21,NA,5.59491035620933,1.7992729080299,"medium"
"308",9.1962579222367,28.4621341924055,21,8.44285779223519,0.753400130001509,1.08923520311978,"low"
"309",11.1333239148814,95.0431373835294,21,6.33960773689753,4.7937161779839,1.75615343676292,"low"
"310",12.2168866208507,101.87621090751,21,7.55222339749618,4.6646632233545,1.61765429567417,"medium"
"311",11.2377592320694,98.9014750340612,21,6.43506910626451,4.80269012580486,1.74633077694993,"low"
"312",8.96926824854308,26.1024760755339,21,NA,1.96926824854308,1.28132403550615,"low"
"313",12.1172370277687,96.7351526907117,21,7.44202648822363,4.67521053954504,1.62821740112631,"low"
"314",12.1400264574856,97.1914316179007,21,7.48513786433626,4.65488859314931,1.62188414929911,"low"
