"group","label","resolution","temp_ref","temp_p05","rr_p05","rr_p05_lo","rr_p05_hi","temp_p10","rr_p10","rr_p10_lo","rr_p10_hi","temp_p90","rr_p90","rr_p90_lo","rr_p90_hi","temp_p95","rr_p95","rr_p95_lo","rr_p95_hi","temp_p99","rr_p99","rr_p99_lo","rr_p99_hi","n_obs","n_lga"
"cvd_total","Cardiovascular","LGA monthly",23.1,12.8,0.9354,0.9191,0.9519,14.3,0.9444,0.9303,0.9588,32.6,0.9977,0.9827,1.0129,34.6,1.0089,0.9918,1.0263,37.9,1.0422,1.0178,1.0672,26201,200
"mh_antidepressants","Antidepressants","LGA monthly",23.1,12.8,0.9693,0.9569,0.9818,14.3,0.9758,0.9651,0.9866,32.6,0.9974,0.9864,1.0085,34.5,1.0011,0.9886,1.0138,37.8,1.0123,0.9948,1.0301,26007,200
"mh_anxiolytics","Anxiolytics/Psycholeptics","LGA monthly",22.9,12.8,0.9698,0.952,0.9879,14.3,0.9728,0.9573,0.9885,32.4,0.983,0.9673,0.9989,34.4,0.9832,0.9655,1.0012,37.6,0.9893,0.9647,1.0145,25443,200
"resp_total","Respiratory","LGA monthly",23.2,12.9,1.0111,0.9923,1.0304,14.4,1.0201,1.0036,1.0369,32.6,0.9315,0.9162,0.947,34.7,0.9326,0.9155,0.9501,37.9,0.9484,0.9243,0.9732,25842,200
